Time,Ry,Ay,Vy,Y
0.383,1322.279419,9.645285574,-1.522740521,-0.296997774
0.384,1336.55835,9.855269853,-1.512885252,-0.298510659
0.385,1350.986817,10.06745319,-1.502817798,-0.300013477
0.386,1365.464599,10.28036175,-1.492537437,-0.301506014
0.387,1379.866089,10.49214837,-1.482045288,-0.302988059
0.388,1394.05188,10.70076294,-1.471344525,-0.304459404
0.389,1407.880921,10.90413119,-1.460440394,-0.305919844
0.39,1421.221313,11.10031343,-1.449340081,-0.307369184
0.391,1433.959351,11.28763751,-1.438052443,-0.308807237
0.392,1446.006164,11.46479653,-1.426587647,-0.310233825
0.393,1457.300964,11.63089653,-1.41495675,-0.311648781
0.394,1467.812012,11.78547076,-1.403171279,-0.313051953
0.395,1477.536071,11.92847163,-1.391242808,-0.314443195
0.396,1486.495605,12.06022949,-1.379182578,-0.315822378
0.397,1494.737183,12.18142916,-1.367001149,-0.317189379
0.398,1502.329102,12.29307503,-1.354708074,-0.318544087
0.399,1509.35968,12.39646588,-1.342311608,-0.319886399
0.4,1515.935059,12.49316263,-1.329818446,-0.321216217
0.401,1522.175964,12.58494065,-1.317233505,-0.322533451
0.402,1528.213684,12.67373065,-1.304559774,-0.323838011
0.403,1534.184204,12.76153241,-1.291798242,-0.325129809
0.404,1540.22229,12.85032779,-1.278947914,-0.326408757
0.405,1546.455017,12.94198554,-1.266005928,-0.327674763
0.406,1552.997009,13.03819131,-1.252967737,-0.32892773
0.407,1559.947266,13.14040097,-1.239827336,-0.330167558
0.408,1567.387695,13.24981904,-1.226577517,-0.331394135
0.409,1575.38385,13.36740956,-1.213210108,-0.332607345
0.41,1583.986328,13.49391659,-1.199716191,-0.333807062
0.411,1593.233277,13.62990113,-1.18608629,-0.334993148
0.412,1603.151917,13.77576349,-1.172310526,-0.336165458
0.413,1613.759338,13.93175497,-1.158378771,-0.337323837
0.414,1625.061889,14.09796896,-1.144280802,-0.338468118
0.415,1637.054199,14.27432646,-1.130006476,-0.339598124
